"","X","Y","date"
"4",359192.302798928,570510.890752286,2016-01-01
"51",356347.303363174,576182.584509371,2016-01-03
"92",355022.314061166,594096.574686368,2016-01-04
"96",366405.664648153,561372.605677041,2016-01-04
"126",351789.616538364,574513.233568294,2016-01-06
"146",359668.40178183,580213.922545132,2016-01-06
"194",354973.806254769,565890.722626238,2016-01-07
"230",348860.115403108,581021.599026512,2016-01-08
"232",354729.701431495,573272.598389865,2016-01-08
"241",353412.931715637,579304.642229672,2016-01-09
"243",353640.963331396,566501.501715795,2016-01-09
"293",352041.07403533,576318.464481522,2016-01-11
"358",354498.962780888,583046.351104267,2016-01-12
"381",350467.640114582,570856.221452769,2016-01-13
"404",355008.011100701,568340.93430001,2016-01-14
"452",356788.892826233,565965.992810068,2016-01-14
"453",356668.562146866,570390.788585731,2016-01-14
"485",349360.286315604,570424.295700982,2016-01-15
"496",365417.845494574,562777.732364709,2016-01-16
"524",343307.588156744,586146.247195689,2016-01-17
"536",353393.41567602,575304.799950142,2016-01-17
"541",364730.194639421,565563.596322247,2016-01-17
"549",353640.963331396,566501.501715795,2016-01-18
"640",347450.134349573,580585.426192384,2016-01-21
"643",352179.08128052,571468.872415717,2016-01-21
"677",348236.220586889,581073.436925448,2016-01-22
"707",358853.008352595,580348.537770218,2016-01-22
"736",356862.985599626,564825.965329105,2016-01-23
"771",344671.898473876,567588.107186167,2016-01-25
"799",358914.915487487,576122.252637467,2016-01-25
"804",355064.361553108,592105.381260868,2016-01-26
"837",356061.047312697,566742.321137233,2016-01-26
"840",341248.953482923,587301.386726668,2016-01-27
"844",355226.491176305,571383.16059482,2016-01-27
"858",358847.839969952,564568.104609625,2016-01-27
"869",357736.590888219,554594.810287342,2016-01-27
"910",348936.358477322,578391.108030008,2016-01-29
"925",352384.279729535,579807.837049495,2016-01-29
"958",352996.572935971,594059.704826367,2016-01-29
"973",353969.198258827,565682.807929515,2016-01-30
"982",350954.761254597,582755.614525864,2016-01-31
"984",351001.639149798,584629.459392586,2016-01-31
"1048",347378.170113221,580786.879515053,2016-02-02
"1058",358643.0131668,566034.268883251,2016-02-02
"1071",355234.468695882,567340.018279144,2016-02-02
"1099",363175.377954254,561422.585726094,2016-02-03
"1105",356553.617816662,567176.610933835,2016-02-03
"1111",350050.421846987,567669.83273869,2016-02-04
"1156",363395.795614529,564751.347333785,2016-02-05
"1162",354850.363038276,570358.490496435,2016-02-05
"1180",343873.920915704,583812.946077446,2016-02-06
"1181",349303.302346501,585491.19918148,2016-02-06
"1206",357965.151841088,582322.754932484,2016-02-07
"1246",351977.034678967,584540.552536751,2016-02-09
"1258",353145.368684823,567563.436299864,2016-02-10
"1291",352590.638508134,567869.450027587,2016-02-11
"1299",351048.644217621,575625.407269807,2016-02-12
"1300",351048.640242233,575625.962611355,2016-02-12
"1356",358190.094083,570193.53413486,2016-02-15
"1370",351950.209254599,575956.365986205,2016-02-15
"1463",352568.930935963,564827.229935321,2016-02-18
"1465",349796.169696135,584164.729678445,2016-02-19
"1475",351848.687862295,570702.280754043,2016-02-19
"1498",347518.984996566,582280.432965248,2016-02-19
"1501",352126.681737847,576864.465383909,2016-02-20
"1532",351276.869886453,574711.350792944,2016-02-21
"1565",349719.994753668,581853.948297824,2016-02-22
"1614",355035.083974276,567318.709684289,2016-02-24
"1616",359857.980678127,568301.930179876,2016-02-24
"1627",352994.462726277,567911.529966483,2016-02-25
"1635",358488.486836476,561423.770522144,2016-02-26
"1682",350261.929587023,576003.023750114,2016-02-28
"1688",355972.934218426,582933.277837667,2016-02-28
"1791",351974.589556748,579364.978642898,2016-03-03
"1806",350737.705415811,583223.800535556,2016-03-04
"1923",358161.75600894,567087.65572457,2016-03-08
"1934",346875.248835795,578949.278645404,2016-03-08
"1942",352207.75128981,585019.646893316,2016-03-08
"1968",350551.219958049,575257.763766208,2016-03-10
"1990",350250.327517366,567782.862820838,2016-03-10
"1997",352710.683358014,585233.291407486,2016-03-11
"1998",349635.872002573,583267.344306458,2016-03-11
"2021",359257.528840528,579869.485208301,2016-03-11
"2023",354863.46000148,578711.526863585,2016-03-11
"2038",352613.122598719,577580.360996178,2016-03-12
"2044",354863.46000148,578711.526863585,2016-03-12
"2048",349025.028610547,578679.177152775,2016-03-13
"2071",355882.48682522,583114.9545913,2016-03-13
"2088",348018.932322266,585589.372982202,2016-03-14
"2100",351124.829120602,567404.307764249,2016-03-14
"2130",352446.089305777,572552.131168026,2016-03-15
"2134",348402.011014217,579060.232666156,2016-03-16
"2156",351083.337936146,576822.035005471,2016-03-16
"2159",363251.627977926,563181.576626181,2016-03-16
"2169",350065.921040684,581334.321686771,2016-03-16
"2196",355925.134130167,566822.118629865,2016-03-18
"2213",350020.20576839,579395.748825955,2016-03-18
"2227",351309.539507452,589587.445409014,2016-03-19
"2254",352058.459325495,575722.899793162,2016-03-19
"2270",356638.689265184,567752.425618557,2016-03-21
"2271",349546.543783786,578506.954571863,2016-03-21
"2289",346928.018270633,580300.726784996,2016-03-21
"2337",351894.715314709,567934.340141701,2016-03-22
"2342",350262.847749936,568497.035848942,2016-03-23
"2375",349833.368521208,575167.629448322,2016-03-23
"2405",359626.629203459,561992.632889168,2016-03-24
"2439",351645.425046549,587017.351543617,2016-03-25
"2441",356197.294357413,582667.462852089,2016-03-26
"2483",359673.547384833,567639.269769257,2016-03-27
"2519",346269.639182822,583274.977282033,2016-03-28
"2531",353314.237493913,576264.003307102,2016-03-29
"2540",355911.435271635,577725.213237977,2016-03-29
"2565",356513.3629531,564967.702233777,2016-03-29
"2566",356604.22005898,565331.631118102,2016-03-29
"2589",348526.70352442,571196.647115805,2016-03-30
"2636",353291.945680488,592760.421266783,2016-04-01
"2637",358189.212726147,556063.619781659,2016-04-01
"2662",358244.332950909,557521.117248347,2016-04-02
"2670",352174.233105575,564421.81498572,2016-04-03
"2704",358245.23349535,571809.348779107,2016-04-04
"2712",347841.217994763,582616.592788297,2016-04-04
"2717",353761.939825969,582912.895078053,2016-04-05
"2743",347754.338822613,584138.730489782,2016-04-05
"2790",357248.527706691,576725.371157888,2016-04-07
"2811",347035.27069243,582557.126462977,2016-04-08
"2816",357288.773369465,570499.59075748,2016-04-08
"2818",356291.524772371,578754.7682932,2016-04-08
"2838",347580.277983362,584739.255630597,2016-04-10
"2854",360616.652419413,562660.724712799,2016-04-10
"2881",356978.846526965,562757.032766773,2016-04-11
"2907",351193.697293087,580967.909169667,2016-04-12
"2913",347106.904530546,582263.697865248,2016-04-12
"2914",358663.457122656,580760.401919669,2016-04-12
"2924",348566.284807112,578779.778218989,2016-04-13
"2930",352142.567325471,567635.358312418,2016-04-13
"2954",351091.866996692,563321.835542626,2016-04-14
"2980",360027.730845469,565678.542516102,2016-04-15
"3012",356408.501904164,576476.974278306,2016-04-16
"3017",359243.218751335,558356.348809891,2016-04-16
"3053",357547.846186651,569496.113793864,2016-04-17
"3058",345531.076614292,584284.763140108,2016-04-18
"3077",357987.408859008,556097.418191797,2016-04-18
"3081",355663.30426999,581226.382148956,2016-04-18
"3083",356223.251069122,582416.968057042,2016-04-18
"3084",352654.93828267,580706.099013333,2016-04-19
"3095",354682.742944412,569151.387054582,2016-04-19
"3100",355120.730584132,567910.94765942,2016-04-19
"3108",359416.265781684,558551.048074927,2016-04-20
"3142",351438.779527676,584797.111213723,2016-04-21
"3163",351214.091232256,587858.297102046,2016-04-21
"3177",360681.813972108,564062.480947473,2016-04-22
"3200",356369.786349851,566521.600813927,2016-04-22
"3228",359782.956806227,559960.730634861,2016-04-24
"3240",357016.944884392,585872.782211566,2016-04-24
"3245",350568.291364332,579160.142220337,2016-04-24
"3256",364569.566457866,561185.430918334,2016-04-25
"3280",348855.301167197,584972.38431906,2016-04-25
"3307",350053.444232786,564195.409252317,2016-04-26
"3338",353507.098635807,567699.644385953,2016-04-28
"3368",355141.165068203,567104.710703995,2016-04-28
"3380",357931.28723578,557900.89398773,2016-04-29
"3422",352024.594561322,570831.516433245,2016-04-30
"3428",359019.793141928,559820.006329166,2016-05-01
"3474",351230.601805957,579702.365330743,2016-05-02
"3511",358775.299850069,559712.699644417,2016-05-04
"3563",350474.03576538,581320.653632801,2016-05-06
"3595",356506.984859238,585656.663561265,2016-05-07
"3598",352147.423458382,579566.510039265,2016-05-07
"3647",352098.319289547,577825.164142233,2016-05-09
"3666",365847.002263821,559391.081866041,2016-05-09
"3700",353843.662977899,571128.681438375,2016-05-10
"3729",358615.587532005,567016.275181171,2016-05-11
"3757",360762.281408165,562049.60634541,2016-05-12
"3809",355450.504565982,561346.405926507,2016-05-14
"3810",353608.343378775,582212.180211964,2016-05-14
"3811",356457.572880828,566988.248097988,2016-05-14
"3832",352254.098052066,575929.596077253,2016-05-14
"3834",347747.31175157,584641.740846971,2016-05-14
"3838",356221.092932987,557322.147411854,2016-05-14
"3841",354807.997983218,570843.114771996,2016-05-15
"3862",351738.067664727,579165.099219456,2016-05-15
"3864",364818.299926954,563117.28089832,2016-05-16
"3865",347314.788887428,579247.307307567,2016-05-16
"3882",359444.970930049,556694.588362448,2016-05-16
"3888",352329.100733213,569899.391621532,2016-05-16
"3916",351832.548057211,576548.646530828,2016-05-17
"3921",356493.545165769,569380.069020032,2016-05-17
"3928",350174.451914792,570430.412568949,2016-05-17
"3933",350220.19239346,568829.620490812,2016-05-18
"3956",354829.022404798,567517.392124392,2016-05-18
"3995",359446.164934773,559021.358069169,2016-05-19
"4010",355474.28409108,569736.072858601,2016-05-20
"4011",355434.049604943,567357.335322923,2016-05-20
"4027",349793.463252253,577919.649757525,2016-05-20
"4048",356279.321342091,583226.826818262,2016-05-21
"4069",364507.696988104,564754.064469603,2016-05-21
"4076",343725.43688386,585553.337233859,2016-05-21
"4082",351996.861806019,571079.34141119,2016-05-22
"4095",359330.638379986,565397.151389113,2016-05-22
"4137",353679.045528844,571426.45313171,2016-05-23
"4145",356463.123436787,585655.426426392,2016-05-24
"4146",359698.867465738,556093.459540178,2016-05-24
"4203",360415.411138594,567563.415909304,2016-05-25
"4210",352496.391872674,571123.204573874,2016-05-25
"4212",355321.334673676,589474.947819912,2016-05-26
"4239",356302.754960659,561679.607937515,2016-05-27
"4267",351243.045922233,575904.597796438,2016-05-28
"4269",361884.595471563,564081.110081271,2016-05-28
"4275",353917.132028043,571171.6659963,2016-05-28
"4292",358650.982751965,564392.324361892,2016-05-29
"4295",345955.42708176,583629.821894971,2016-05-29
"4315",355520.918554219,576527.321708079,2016-05-29
"4329",358254.731410045,565380.756825697,2016-05-30
"4346",356036.096600489,565915.071086842,2016-05-30
