"","X","Y","date"
"1",350353.394956896,578924.252858319,2015-12-31
"2",355691.341195498,586715.567123158,2016-01-01
"3",353206.944624933,584361.596673108,2016-01-01
"5",352692.117119164,567851.425944794,2016-01-01
"6",357290.640105731,571106.074148158,2016-01-01
"7",360956.494375754,559672.16056253,2016-01-01
"8",360769.343485918,572567.597770103,2016-01-01
"9",354462.11096752,585095.872335704,2016-01-01
"10",350091.265993274,569754.061883895,2016-01-01
"11",345935.30400639,585511.95809562,2016-01-01
"12",348368.502600572,591855.077158902,2016-01-01
"13",357318.397623756,557104.244659983,2016-01-01
"14",355690.161264257,586760.321979334,2016-01-02
"15",355116.508888334,576109.984379462,2016-01-02
"16",360454.775887376,557921.39006817,2016-01-02
"17",348836.10673274,567580.79629484,2016-01-02
"18",364125.499526232,563732.065444813,2016-01-02
"19",352842.702288159,569681.136308382,2016-01-02
"20",364107.182743108,558916.794011207,2016-01-02
"21",357681.065973001,574045.268357584,2016-01-02
"22",351136.982745587,583443.811739189,2016-01-02
"23",350721.835791834,583762.402618692,2016-01-02
"24",347893.933597349,579083.678422608,2016-01-02
"25",349962.015570115,574693.578713243,2016-01-02
"26",356864.85195108,584607.615975467,2016-01-02
"27",351364.99918158,587970.129687856,2016-01-02
"28",350631.644902775,583380.7717675,2016-01-02
"29",366206.920908571,561149.503094673,2016-01-02
"30",348918.054721131,579291.570714977,2016-01-02
"31",351810.58527954,579066.547571574,2016-01-02
"32",356191.497002974,586770.155625156,2016-01-02
"33",344439.005541478,586661.61850837,2016-01-02
"34",358513.200517678,564467.837588891,2016-01-02
"35",356846.554606638,574442.77358552,2016-01-02
"36",344534.43512843,586808.500936822,2016-01-02
"37",356630.398957493,586165.379945738,2016-01-02
"38",355589.87900632,586743.319531729,2016-01-02
"39",350226.883378425,581466.634964915,2016-01-03
"40",348165.793614878,584047.980143602,2016-01-03
"41",349140.538295537,587405.34609089,2016-01-03
"42",351201.609598721,577360.92742569,2016-01-03
"43",351936.838812256,567125.480742121,2016-01-03
"44",354239.569247473,574002.614394111,2016-01-03
"45",351295.783165184,580942.98566621,2016-01-03
"46",347223.388363083,590040.048742251,2016-01-03
"47",355058.604603107,566488.394205882,2016-01-03
"48",355587.993755773,564184.051528941,2016-01-03
"49",355254.854893106,585723.130529934,2016-01-03
"50",350564.319047713,564209.996467551,2016-01-03
"52",348483.131747469,581214.512520779,2016-01-03
"53",364758.858867376,565153.318611766,2016-01-03
"54",347102.041138954,584626.774216398,2016-01-03
"55",360422.734940181,562361.962182561,2016-01-03
"56",344338.156907204,586664.987257403,2016-01-03
"57",351690.230121699,568332.165476089,2016-01-04
"58",351012.062986757,576907.718191123,2016-01-04
"59",347322.153963552,579025.76415543,2016-01-04
"60",362927.310947998,567146.111863735,2016-01-04
"61",355467.326570508,573637.175881697,2016-01-04
"62",350886.132868187,588643.137232473,2016-01-04
"63",355490.171406206,588520.887544193,2016-01-04
"64",353919.218508301,578389.641762041,2016-01-04
"65",355311.258061414,591204.016067574,2016-01-04
"66",351864.274629314,571691.39169373,2016-01-04
"67",347119.708516373,585089.73947805,2016-01-04
"68",352897.215243294,571309.98924012,2016-01-04
"69",359660.731910637,580366.589376185,2016-01-04
"70",354146.590416311,566879.739779784,2016-01-04
"71",354699.188889806,561222.33749286,2016-01-04
"72",350655.998389663,588459.327093988,2016-01-04
"73",364314.175985564,564361.446887651,2016-01-04
"74",355753.78281787,584685.013568425,2016-01-04
"75",342706.237902742,589371.869401276,2016-01-04
"76",349800.721307139,576702.551686271,2016-01-04
